,title,date,n_reply,url
129,[노컷체크]탈원전 때문에 4월 전기요금 인상된다?,2022.02.02. 오전 7:22,131,https://n.news.naver.com/mnews/article/079/0003603538?sid=100
130,"이재명, 尹대통령에게 질문했던 'RE100'...""정부도 회피경향""",2022.06.17. 오후 3:58,130,https://n.news.naver.com/mnews/article/008/0004759936?sid=100
131,이재명 ‘이재노믹스’ 비전 공개 “4대 대전환으로 5대 강국 도약”,2022.01.11. 오후 1:12,129,https://n.news.naver.com/mnews/article/081/0003243991?sid=100
132,"송영길 ""尹, 청약만점 몰라"" vs 이준석 ""대장동 위축된 李 3등""",2022.02.04. 오후 1:32,128,https://n.news.naver.com/mnews/article/014/0004782745?sid=100
133,"文, 대선 직전 ""원전 충분히 활용""…발언 배경에 쏠리는 관심",2022.02.27. 오전 8:10,128,https://n.news.naver.com/mnews/article/421/0005933336?sid=101
134,"이재명, “삼성전자가 대한민국을 대표한다”",2021.07.20. 오후 5:16,127,https://n.news.naver.com/mnews/article/016/0001864059?sid=100
135,한국이 석탄발전 퇴출 서명했다는데…산업부 “그건 아니고”,2021.11.05. 오전 11:07,127,https://n.news.naver.com/mnews/article/028/0002566681?sid=102
136,"""뼛속까지 시장주의자"" 한덕수, 文 소주성·탈원전 대수술(종합)",2022.04.03. 오후 6:02,127,https://n.news.naver.com/mnews/article/018/0005181055?sid=100
137,"'백제 발언' 갈등 폭발…이재명·이낙연, 결코 물러설 수없는 '호남혈투'",2021.07.25. 오후 12:19,126,https://n.news.naver.com/mnews/article/008/0004621391?sid=100
138,2030년까지 원전 비중 30% 이상으로…尹정부 에너지정책 수립,2022.07.05. 오전 11:00,126,https://n.news.naver.com/mnews/article/421/0006197619?sid=101
139,"월성원전 1호기 ‘탈원전 손실’, 국민이 낸 전력기금으로 보전한다",2021.11.25. 오후 4:32,124,https://n.news.naver.com/mnews/article/022/0003641684?sid=101
140,"‘反탈원전’ 윤석열 세몰이 하자, 이낙연 “반대를 위한 반대 외친다”",2021.07.06. 오후 4:32,123,https://n.news.naver.com/mnews/article/366/0000743617?sid=100
141,"민주 ""탈원전 바보같다는 尹대통령, 전 정부 때리기 도 지나쳐""",2022.06.22. 오후 6:31,123,https://n.news.naver.com/mnews/article/025/0003204305?sid=100
142,"이재명 ""신한울 백지화 밀어붙이면 벽창호""…文정부와 또 차별화",2021.12.10. 오후 4:12,120,https://n.news.naver.com/mnews/article/421/0005777385?sid=100
143,"이재명, 주말 'PK' 집중 유세...정책 행보로 위기 돌파 시도",2022.02.05. 오후 9:05,119,https://n.news.naver.com/mnews/article/052/0001698118?sid=100
144,"박진 ""대중외교, 아쉬운 부분 있었다…주권·정체성엔 단호해야""",2022.04.30. 오전 10:41,118,https://n.news.naver.com/mnews/article/001/0013148278?sid=100
145,탈원전·탈석탄하면 전기요금 뛰나요? ‘탄소중립 궁금증’ 4가지,2021.08.09. 오전 7:36,117,https://n.news.naver.com/mnews/article/028/0002555872?sid=102
146,"문 대통령 “원전이 주력 전원…신한울 1·2호, 신고리 5·6호 빠른 시간내 가동”",2022.02.25. 오후 6:29,116,https://n.news.naver.com/mnews/article/028/0002580675?sid=100
147,"[현장영상] 이재명, 민주당 대선 후보로 선출...수락 연설",2021.10.10. 오후 6:39,115,https://n.news.naver.com/mnews/article/052/0001650616?sid=100
148,“여수 앞바다에 풍력발전기 300개… 어업 씨 말릴것”,2022.02.09. 오전 3:05,115,https://n.news.naver.com/mnews/article/023/0003671407?sid=101
149,“신재생에너지 확대로 일자리 200만 개 창출”…“원전 확대 정책이 ‘걸림돌’”,2022.07.20. 오후 5:17,114,https://n.news.naver.com/mnews/article/056/0011305701?sid=102
150,"이재명 ""당선시 전국민 지역화폐로 경제 부스터샷""(종합)",2022.02.24. 오후 11:28,113,https://n.news.naver.com/mnews/article/001/0013012187?sid=100
151,"문 대통령 ""10월 국민의 70%가 2차 접종 완료…내년 상반기 백신 국산화""",2021.08.15. 오후 6:10,112,https://n.news.naver.com/mnews/article/584/0000015559?sid=105
152,"尹 인수위 탈원전 폐기에 文 ""사실과 다른 주장 횡행"" 반박",2022.04.14. 오후 1:47,112,https://n.news.naver.com/mnews/article/009/0004949643?sid=100
153,"""30년 뒤 기름을 누가 사나""...석유 대신 태양에 꽂힌 산유국들",2022.01.01. 오전 5:00,111,https://n.news.naver.com/mnews/article/008/0004690574?sid=101
154,文 그린경제 첫발 뗐지만…전기료·증세·고용쇼크 `산 넘어 산`,2021.08.05. 오후 8:05,109,https://n.news.naver.com/mnews/article/018/0005004247?sid=101
155,"'대선 출마' 심상정 ""촛불 정부에 대한 실망, 희망으로 바꿔야""",2021.08.29. 오전 11:58,108,https://n.news.naver.com/mnews/article/047/0002324853?sid=100
156,"이준석發 '이대남' 헛된 프레임 벗고 다시, '이재명의 이야기'를 써라",2022.01.20. 오전 10:33,108,https://n.news.naver.com/mnews/article/002/0002228053?sid=100
157,文 확장재정에 내년 예산 역대최대 600조 넘는다,2021.08.22. 오전 11:20,107,https://n.news.naver.com/mnews/article/018/0005016908?sid=101
158,세계는 친원전인데 우리만 탈원전 ‘탈 날라’,2021.11.16. 오후 5:02,107,https://n.news.naver.com/mnews/article/024/0000071571?sid=101
159,"원희룡 ""文정부 탈원전 정책, 586 이념집단의 폐해""",2021.07.06. 오전 11:03,106,https://n.news.naver.com/mnews/article/018/0004976553?sid=100
